NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER
NUM_PROBE_IN,0,0,0,15,logic,r,,y
NUM_PROBE_OUT,1,0,0,15,logic,r,,y
COMMIT,2,0,0,0,logic,rw,,y
RESET,2,0,1,1,logic,rw,,y
INT_CNT_RST,2,0,2,2,logic,rw,,y
HOLD_PROBE_IN,2,0,3,3,logic,rw,,y
ACTIVITY_EN,3,0,0,0,logic,r,,y
MODIFIED,4,0,0,15,logic,rw,,y
PROBE_IN_WIDTH,5,0,0,15,srl,r,,y
PROBE_OUT_WIDTH,6,0,0,15,srl,r,,y
PROBE_IN,7,0,0,15,srl,r,,y
PROBE_OUT0,100,0,0,15,srl,rw,,y
PROBE_OUT1,101,0,0,15,srl,rw,,y
PROBE_OUT2,102,0,0,15,srl,rw,,y
PROBE_OUT3,103,0,0,15,srl,rw,,y
PROBE_OUT4,104,0,0,15,srl,rw,,y
PROBE_OUT5,105,0,0,15,srl,rw,,y
PROBE_OUT6,106,0,0,15,srl,rw,,y
PROBE_OUT7,107,0,0,15,srl,rw,,y
PROBE_OUT8,108,0,0,15,srl,rw,,y
PROBE_OUT9,109,0,0,15,srl,rw,,y
PROBE_OUT10,10a,0,0,15,srl,rw,,y
PROBE_OUT11,10b,0,0,15,srl,rw,,y
PROBE_OUT12,10c,0,0,15,srl,rw,,y
PROBE_OUT13,10d,0,0,15,srl,rw,,y
PROBE_OUT14,10e,0,0,15,srl,rw,,y
PROBE_OUT15,10f,0,0,15,srl,rw,,y
PROBE_OUT16,110,0,0,15,srl,rw,,y
PROBE_OUT17,111,0,0,15,srl,rw,,y
PROBE_OUT18,112,0,0,15,srl,rw,,y
PROBE_OUT19,113,0,0,15,srl,rw,,y
PROBE_OUT20,114,0,0,15,srl,rw,,y
PROBE_OUT21,115,0,0,15,srl,rw,,y
PROBE_OUT22,116,0,0,15,srl,rw,,y
PROBE_OUT23,117,0,0,15,srl,rw,,y
PROBE_OUT24,118,0,0,15,srl,rw,,y
PROBE_OUT25,119,0,0,15,srl,rw,,y
PROBE_OUT26,11a,0,0,15,srl,rw,,y
PROBE_OUT27,11b,0,0,15,srl,rw,,y
PROBE_OUT28,11c,0,0,15,srl,rw,,y
PROBE_OUT29,11d,0,0,15,srl,rw,,y
PROBE_OUT30,11e,0,0,15,srl,rw,,y
PROBE_OUT31,11f,0,0,15,srl,rw,,y
PROBE_OUT32,120,0,0,15,srl,rw,,y
PROBE_OUT33,121,0,0,15,srl,rw,,y
PROBE_OUT34,122,0,0,15,srl,rw,,y
PROBE_OUT35,123,0,0,15,srl,rw,,y
PROBE_OUT36,124,0,0,15,srl,rw,,y
PROBE_OUT37,125,0,0,15,srl,rw,,y
PROBE_OUT38,126,0,0,15,srl,rw,,y
PROBE_OUT39,127,0,0,15,srl,rw,,y
PROBE_OUT40,128,0,0,15,srl,rw,,y
PROBE_OUT41,129,0,0,15,srl,rw,,y
PROBE_OUT42,12a,0,0,15,srl,rw,,y
PROBE_OUT43,12b,0,0,15,srl,rw,,y
PROBE_OUT44,12c,0,0,15,srl,rw,,y
PROBE_OUT45,12d,0,0,15,srl,rw,,y
PROBE_OUT46,12e,0,0,15,srl,rw,,y
PROBE_OUT47,12f,0,0,15,srl,rw,,y
PROBE_OUT48,130,0,0,15,srl,rw,,y
PROBE_OUT49,131,0,0,15,srl,rw,,y
PROBE_OUT50,132,0,0,15,srl,rw,,y
PROBE_OUT51,133,0,0,15,srl,rw,,y
PROBE_OUT52,134,0,0,15,srl,rw,,y
PROBE_OUT53,135,0,0,15,srl,rw,,y
PROBE_OUT54,136,0,0,15,srl,rw,,y
PROBE_OUT55,137,0,0,15,srl,rw,,y
PROBE_OUT56,138,0,0,15,srl,rw,,y
PROBE_OUT57,139,0,0,15,srl,rw,,y
PROBE_OUT58,13a,0,0,15,srl,rw,,y
PROBE_OUT59,13b,0,0,15,srl,rw,,y
PROBE_OUT60,13c,0,0,15,srl,rw,,y
PROBE_OUT61,13d,0,0,15,srl,rw,,y
PROBE_OUT62,13e,0,0,15,srl,rw,,y
PROBE_OUT63,13f,0,0,15,srl,rw,,y
PROBE_OUT64,140,0,0,15,srl,rw,,y
PROBE_OUT65,141,0,0,15,srl,rw,,y
PROBE_OUT66,142,0,0,15,srl,rw,,y
PROBE_OUT67,143,0,0,15,srl,rw,,y
PROBE_OUT68,144,0,0,15,srl,rw,,y
PROBE_OUT69,145,0,0,15,srl,rw,,y
PROBE_OUT70,146,0,0,15,srl,rw,,y
PROBE_OUT71,147,0,0,15,srl,rw,,y
PROBE_OUT72,148,0,0,15,srl,rw,,y
PROBE_OUT73,149,0,0,15,srl,rw,,y
PROBE_OUT74,14a,0,0,15,srl,rw,,y
PROBE_OUT75,14b,0,0,15,srl,rw,,y
PROBE_OUT76,14c,0,0,15,srl,rw,,y
PROBE_OUT77,14d,0,0,15,srl,rw,,y
PROBE_OUT78,14e,0,0,15,srl,rw,,y
PROBE_OUT79,14f,0,0,15,srl,rw,,y
PROBE_OUT80,150,0,0,15,srl,rw,,y
PROBE_OUT81,151,0,0,15,srl,rw,,y
PROBE_OUT82,152,0,0,15,srl,rw,,y
PROBE_OUT83,153,0,0,15,srl,rw,,y
PROBE_OUT84,154,0,0,15,srl,rw,,y
PROBE_OUT85,155,0,0,15,srl,rw,,y
PROBE_OUT86,156,0,0,15,srl,rw,,y
PROBE_OUT87,157,0,0,15,srl,rw,,y
PROBE_OUT88,158,0,0,15,srl,rw,,y
PROBE_OUT89,159,0,0,15,srl,rw,,y
PROBE_OUT90,15a,0,0,15,srl,rw,,y
PROBE_OUT91,15b,0,0,15,srl,rw,,y
PROBE_OUT92,15c,0,0,15,srl,rw,,y
PROBE_OUT93,15d,0,0,15,srl,rw,,y
PROBE_OUT94,15e,0,0,15,srl,rw,,y
PROBE_OUT95,15f,0,0,15,srl,rw,,y
PROBE_OUT96,160,0,0,15,srl,rw,,y
PROBE_OUT97,161,0,0,15,srl,rw,,y
PROBE_OUT98,162,0,0,15,srl,rw,,y
PROBE_OUT99,163,0,0,15,srl,rw,,y
PROBE_OUT100,164,0,0,15,srl,rw,,y
PROBE_OUT101,165,0,0,15,srl,rw,,y
PROBE_OUT102,166,0,0,15,srl,rw,,y
PROBE_OUT103,167,0,0,15,srl,rw,,y
PROBE_OUT104,168,0,0,15,srl,rw,,y
PROBE_OUT105,169,0,0,15,srl,rw,,y
PROBE_OUT106,16a,0,0,15,srl,rw,,y
PROBE_OUT107,16b,0,0,15,srl,rw,,y
PROBE_OUT108,16c,0,0,15,srl,rw,,y
PROBE_OUT109,16d,0,0,15,srl,rw,,y
PROBE_OUT110,16e,0,0,15,srl,rw,,y
PROBE_OUT111,16f,0,0,15,srl,rw,,y
PROBE_OUT112,170,0,0,15,srl,rw,,y
PROBE_OUT113,171,0,0,15,srl,rw,,y
PROBE_OUT114,172,0,0,15,srl,rw,,y
PROBE_OUT115,173,0,0,15,srl,rw,,y
PROBE_OUT116,174,0,0,15,srl,rw,,y
PROBE_OUT117,175,0,0,15,srl,rw,,y
PROBE_OUT118,176,0,0,15,srl,rw,,y
PROBE_OUT119,177,0,0,15,srl,rw,,y
PROBE_OUT120,178,0,0,15,srl,rw,,y
PROBE_OUT121,179,0,0,15,srl,rw,,y
PROBE_OUT122,17a,0,0,15,srl,rw,,y
PROBE_OUT123,17b,0,0,15,srl,rw,,y
PROBE_OUT124,17c,0,0,15,srl,rw,,y
PROBE_OUT125,17d,0,0,15,srl,rw,,y
PROBE_OUT126,17e,0,0,15,srl,rw,,y
PROBE_OUT127,17f,0,0,15,srl,rw,,y
PROBE_OUT128,180,0,0,15,srl,rw,,y
PROBE_OUT129,181,0,0,15,srl,rw,,y
PROBE_OUT130,182,0,0,15,srl,rw,,y
PROBE_OUT131,183,0,0,15,srl,rw,,y
PROBE_OUT132,184,0,0,15,srl,rw,,y
PROBE_OUT133,185,0,0,15,srl,rw,,y
PROBE_OUT134,186,0,0,15,srl,rw,,y
PROBE_OUT135,187,0,0,15,srl,rw,,y
PROBE_OUT136,188,0,0,15,srl,rw,,y
PROBE_OUT137,189,0,0,15,srl,rw,,y
PROBE_OUT138,18a,0,0,15,srl,rw,,y
PROBE_OUT139,18b,0,0,15,srl,rw,,y
PROBE_OUT140,18c,0,0,15,srl,rw,,y
PROBE_OUT141,18d,0,0,15,srl,rw,,y
PROBE_OUT142,18e,0,0,15,srl,rw,,y
PROBE_OUT143,18f,0,0,15,srl,rw,,y
PROBE_OUT144,190,0,0,15,srl,rw,,y
PROBE_OUT145,191,0,0,15,srl,rw,,y
PROBE_OUT146,192,0,0,15,srl,rw,,y
PROBE_OUT147,193,0,0,15,srl,rw,,y
PROBE_OUT148,194,0,0,15,srl,rw,,y
PROBE_OUT149,195,0,0,15,srl,rw,,y
PROBE_OUT150,196,0,0,15,srl,rw,,y
PROBE_OUT151,197,0,0,15,srl,rw,,y
PROBE_OUT152,198,0,0,15,srl,rw,,y
PROBE_OUT153,199,0,0,15,srl,rw,,y
PROBE_OUT154,19a,0,0,15,srl,rw,,y
PROBE_OUT155,19b,0,0,15,srl,rw,,y
PROBE_OUT156,19c,0,0,15,srl,rw,,y
PROBE_OUT157,19d,0,0,15,srl,rw,,y
PROBE_OUT158,19e,0,0,15,srl,rw,,y
PROBE_OUT159,19f,0,0,15,srl,rw,,y
PROBE_OUT160,1a0,0,0,15,srl,rw,,y
PROBE_OUT161,1a1,0,0,15,srl,rw,,y
PROBE_OUT162,1a2,0,0,15,srl,rw,,y
PROBE_OUT163,1a3,0,0,15,srl,rw,,y
PROBE_OUT164,1a4,0,0,15,srl,rw,,y
PROBE_OUT165,1a5,0,0,15,srl,rw,,y
PROBE_OUT166,1a6,0,0,15,srl,rw,,y
PROBE_OUT167,1a7,0,0,15,srl,rw,,y
PROBE_OUT168,1a8,0,0,15,srl,rw,,y
PROBE_OUT169,1a9,0,0,15,srl,rw,,y
PROBE_OUT170,1aa,0,0,15,srl,rw,,y
PROBE_OUT171,1ab,0,0,15,srl,rw,,y
PROBE_OUT172,1ac,0,0,15,srl,rw,,y
PROBE_OUT173,1ad,0,0,15,srl,rw,,y
PROBE_OUT174,1ae,0,0,15,srl,rw,,y
PROBE_OUT175,1af,0,0,15,srl,rw,,y
PROBE_OUT176,1b0,0,0,15,srl,rw,,y
PROBE_OUT177,1b1,0,0,15,srl,rw,,y
PROBE_OUT178,1b2,0,0,15,srl,rw,,y
PROBE_OUT179,1b3,0,0,15,srl,rw,,y
PROBE_OUT180,1b4,0,0,15,srl,rw,,y
PROBE_OUT181,1b5,0,0,15,srl,rw,,y
PROBE_OUT182,1b6,0,0,15,srl,rw,,y
PROBE_OUT183,1b7,0,0,15,srl,rw,,y
PROBE_OUT184,1b8,0,0,15,srl,rw,,y
PROBE_OUT185,1b9,0,0,15,srl,rw,,y
PROBE_OUT186,1ba,0,0,15,srl,rw,,y
PROBE_OUT187,1bb,0,0,15,srl,rw,,y
PROBE_OUT188,1bc,0,0,15,srl,rw,,y
PROBE_OUT189,1bd,0,0,15,srl,rw,,y
PROBE_OUT190,1be,0,0,15,srl,rw,,y
PROBE_OUT191,1bf,0,0,15,srl,rw,,y
PROBE_OUT192,1c0,0,0,15,srl,rw,,y
PROBE_OUT193,1c1,0,0,15,srl,rw,,y
PROBE_OUT194,1c2,0,0,15,srl,rw,,y
PROBE_OUT195,1c3,0,0,15,srl,rw,,y
PROBE_OUT196,1c4,0,0,15,srl,rw,,y
PROBE_OUT197,1c5,0,0,15,srl,rw,,y
PROBE_OUT198,1c6,0,0,15,srl,rw,,y
PROBE_OUT199,1c7,0,0,15,srl,rw,,y
PROBE_OUT200,1c8,0,0,15,srl,rw,,y
PROBE_OUT201,1c9,0,0,15,srl,rw,,y
PROBE_OUT202,1ca,0,0,15,srl,rw,,y
PROBE_OUT203,1cb,0,0,15,srl,rw,,y
PROBE_OUT204,1cc,0,0,15,srl,rw,,y
PROBE_OUT205,1cd,0,0,15,srl,rw,,y
PROBE_OUT206,1ce,0,0,15,srl,rw,,y
PROBE_OUT207,1cf,0,0,15,srl,rw,,y
PROBE_OUT208,1d0,0,0,15,srl,rw,,y
PROBE_OUT209,1d1,0,0,15,srl,rw,,y
PROBE_OUT210,1d2,0,0,15,srl,rw,,y
PROBE_OUT211,1d3,0,0,15,srl,rw,,y
PROBE_OUT212,1d4,0,0,15,srl,rw,,y
PROBE_OUT213,1d5,0,0,15,srl,rw,,y
PROBE_OUT214,1d6,0,0,15,srl,rw,,y
PROBE_OUT215,1d7,0,0,15,srl,rw,,y
PROBE_OUT216,1d8,0,0,15,srl,rw,,y
PROBE_OUT217,1d9,0,0,15,srl,rw,,y
PROBE_OUT218,1da,0,0,15,srl,rw,,y
PROBE_OUT219,1db,0,0,15,srl,rw,,y
PROBE_OUT220,1dc,0,0,15,srl,rw,,y
PROBE_OUT221,1dd,0,0,15,srl,rw,,y
PROBE_OUT222,1de,0,0,15,srl,rw,,y
PROBE_OUT223,1df,0,0,15,srl,rw,,y
PROBE_OUT224,1e0,0,0,15,srl,rw,,y
PROBE_OUT225,1e1,0,0,15,srl,rw,,y
PROBE_OUT226,1e2,0,0,15,srl,rw,,y
PROBE_OUT227,1e3,0,0,15,srl,rw,,y
PROBE_OUT228,1e4,0,0,15,srl,rw,,y
PROBE_OUT229,1e5,0,0,15,srl,rw,,y
PROBE_OUT230,1e6,0,0,15,srl,rw,,y
PROBE_OUT231,1e7,0,0,15,srl,rw,,y
PROBE_OUT232,1e8,0,0,15,srl,rw,,y
PROBE_OUT233,1e9,0,0,15,srl,rw,,y
PROBE_OUT234,1ea,0,0,15,srl,rw,,y
PROBE_OUT235,1eb,0,0,15,srl,rw,,y
PROBE_OUT236,1ec,0,0,15,srl,rw,,y
PROBE_OUT237,1ed,0,0,15,srl,rw,,y
PROBE_OUT238,1ee,0,0,15,srl,rw,,y
PROBE_OUT239,1ef,0,0,15,srl,rw,,y
PROBE_OUT240,1f0,0,0,15,srl,rw,,y
PROBE_OUT241,1f1,0,0,15,srl,rw,,y
PROBE_OUT242,1f2,0,0,15,srl,rw,,y
PROBE_OUT243,1f3,0,0,15,srl,rw,,y
PROBE_OUT244,1f4,0,0,15,srl,rw,,y
PROBE_OUT245,1f5,0,0,15,srl,rw,,y
PROBE_OUT246,1f6,0,0,15,srl,rw,,y
PROBE_OUT247,1f7,0,0,15,srl,rw,,y
PROBE_OUT248,1f8,0,0,15,srl,rw,,y
PROBE_OUT249,1f9,0,0,15,srl,rw,,y
PROBE_OUT250,1fa,0,0,15,srl,rw,,y
PROBE_OUT251,1fb,0,0,15,srl,rw,,y
PROBE_OUT252,1fc,0,0,15,srl,rw,,y
PROBE_OUT253,1fd,0,0,15,srl,rw,,y
PROBE_OUT254,1fe,0,0,15,srl,rw,,y
PROBE_OUT255,1ff,0,0,15,srl,rw,,y
